timestamp,polymarket_id,kalshi_ticker,token,buy_platform,sell_platform,buy_price,sell_price,gross_edge,net_edge,edge_pct,max_size
2026-06-24T02:00:04Z,1897299,KXWCGAME-26JUN24CZEMEX-MEX,YES,polymarket,kalshi,0.515,0.52,0.0050000000000000044,0.0050000000000000044,0.009708737864077678,100.0
2026-06-24T04:00:05Z,1897299,KXWCGAME-26JUN24CZEMEX-MEX,YES,polymarket,kalshi,0.515,0.52,0.0050000000000000044,0.0050000000000000044,0.009708737864077678,100.0
2026-06-24T13:00:03Z,1897299,KXWCGAME-26JUN24CZEMEX-MEX,YES,polymarket,kalshi,0.515,0.52,0.0050000000000000044,0.0050000000000000044,0.009708737864077678,100.0
2026-06-24T14:00:04Z,1897299,KXWCGAME-26JUN24CZEMEX-MEX,YES,polymarket,kalshi,0.515,0.52,0.0050000000000000044,0.0050000000000000044,0.009708737864077678,100.0
2026-06-24T15:00:04Z,1897299,KXWCGAME-26JUN24CZEMEX-MEX,YES,polymarket,kalshi,0.515,0.52,0.0050000000000000044,0.0050000000000000044,0.009708737864077678,100.0
2026-06-24T16:00:04Z,1897299,KXWCGAME-26JUN24CZEMEX-MEX,YES,polymarket,kalshi,0.515,0.52,0.0050000000000000044,0.0050000000000000044,0.009708737864077678,100.0
2026-06-24T17:00:03Z,1897299,KXWCGAME-26JUN24CZEMEX-MEX,YES,polymarket,kalshi,0.515,0.52,0.0050000000000000044,0.0050000000000000044,0.009708737864077678,100.0
2026-06-24T18:00:06Z,1897299,KXWCGAME-26JUN24CZEMEX-MEX,YES,polymarket,kalshi,0.515,0.52,0.0050000000000000044,0.0050000000000000044,0.009708737864077678,100.0
2026-06-24T19:00:06Z,1897299,KXWCGAME-26JUN24CZEMEX-MEX,YES,polymarket,kalshi,0.515,0.52,0.0050000000000000044,0.0050000000000000044,0.009708737864077678,100.0
2026-06-24T20:00:04Z,1897299,KXWCGAME-26JUN24CZEMEX-MEX,YES,polymarket,kalshi,0.515,0.52,0.0050000000000000044,0.0050000000000000044,0.009708737864077678,100.0
